"","phn","pc1","pc2","pc3","pc4","pc5","pc6","pc7","pc8","pc9","pc10","pc11","pc12","pc13","pc14","pc15","pc16","pc17","pc18","pc19","pc20","pfna"
"285","er",-14.41915,11.01169,7.293376,-1.374157,-7.721081,2.262784,2.989354,3.027955,3.236188,-1.809239,-0.4006194,-0.8317703,-1.928408,-1.786941,-2.781313,4.316853,-0.206634,4.808946,3.318388,1.903072,"A"
"286","dcl",19.10862,2.115978,-0.975991,4.126242,1.323339,-1.821307,4.332839,-4.616316,-9.047268,-0.6920426,2.639211,1.552994,-2.305487,-4.173771,2.889197,-2.833762,-0.8241027,-5.029884,-2.786658,4.072723,"P"
"287","d",-5.896775,-10.81204,10.27987,3.28793,0.4089711,6.603383,-0.5786329,-2.325253,0.8672348,-3.246069,-2.633849,-0.2155761,3.674024,1.694831,-1.544068,-5.365665,-3.260722,-0.03554267,1.303038,4.681028,"P"
"288","aa",-12.27732,-7.076159,7.483199,8.512227,-2.370003,3.275369,-2.351829,-1.194232,-4.608634,-0.7217596,0.5875726,-0.1362914,3.148827,2.996166,-0.410729,-3.597568,0.1855106,-0.249851,2.579613,5.868701,"A"
"289","r",-9.716877,1.74962,-8.704774,1.584208,-3.218614,4.783613,4.486956,0.3089908,1.167088,-0.2940325,-1.744998,-5.530199,2.074823,0.5922939,-4.637134,0.5789749,-0.5760582,-1.947419,2.457914,-0.8355553,"A"
"290","kcl",3.959054,17.14054,-2.580919,-1.248361,0.713154,-2.258724,1.311396,-1.162445,-0.1305117,-0.0954281,-3.099649,-1.205999,0.7130432,-3.19837,5.769128,0.1945725,1.187343,3.202922,0.1251275,0.2840111,"P"
"291","s",9.47076,-0.8176236,2.582252,-8.242295,6.132652,2.428006,0.7221515,3.19186,2.244394,-3.46376,2.693266,-3.922304,-2.648567,1.327774,-0.552927,-0.6316013,0.3344051,0.3152543,-1.598989,0.6226349,"F"
"292","ux",-10.71459,-3.960142,-3.26408,-3.33109,-1.675484,4.50319,-2.279561,1.770815,2.699142,1.46392,0.668666,3.869245,-2.263609,-0.3568883,-1.917226,3.390223,-2.88283,1.162162,2.760649,2.478046,"A"
"293","tcl",1.67018,6.30647,-1.506788,5.263838,-2.063737,-2.803062,5.204087,2.274434,3.100857,1.990155,-1.20335,1.432692,-0.9785225,1.300335,4.449022,0.6316362,6.468711,4.238924,-1.448227,-1.747928,"P"
"294","ix",-8.649696,7.133154,0.545754,-3.543924,0.6728343,0.2642866,2.277317,0.1931413,-1.034298,3.253753,-2.812051,-2.424763,5.801964,2.00719,-3.859172,1.113305,-1.40019,-3.021015,0.09469889,-1.679663,"A"
"295","n",3.661047,2.056227,-5.739524,-3.647961,5.415012,1.082047,-0.2440565,-3.628451,-0.4709201,-3.263082,3.420726,2.91747,-3.184636,-1.1009,-1.911095,0.5545252,-0.288594,2.49513,-0.8328749,-0.4652124,"N"
"296","gcl",12.41001,-0.06850344,5.06668,2.284843,1.173908,1.613391,-3.818566,1.427688,-3.200658,-2.43163,1.43614,-2.021895,2.718929,-1.611047,-3.259637,1.2421,3.687476,0.8478687,-1.550742,-1.355323,"P"
"297","g",4.990337,1.53989,11.51058,-2.108273,-1.496415,-1.199155,-4.557257,-3.205038,2.373098,-3.162396,-0.5220801,-0.6319742,2.396006,0.1097251,-2.098004,1.223877,2.611253,-1.524706,-0.2118887,6.060023,"P"
"298","r",-12.8946,2.187761,0.7222707,-0.8930271,-8.594811,1.020716,1.836816,-0.2716832,-0.2117166,1.568467,-1.733074,-0.8898541,-2.019731,-0.8832998,-1.981551,2.033999,2.218463,-0.357237,3.024987,3.483177,"A"
"299","iy",-8.880229,4.374564,-8.701406,0.6612897,-1.30383,-1.993308,0.4279816,2.130439,3.643689,1.306916,-2.8005,-2.897999,-4.510115,-1.886588,-0.4772205,-0.2625163,-1.552768,0.8380955,2.129457,0.5665763,"A"
"300","s",3.909864,5.1777,0.6316548,4.849814,3.944312,-1.73515,-0.3974237,-2.042396,-4.429666,-5.076754,-1.571351,-0.7405315,1.539722,-0.4282863,1.476604,0.947731,1.924795,3.0087,-3.904654,3.511608,"F"
"301","iy",-2.697221,2.37438,1.316924,-1.449095,-4.853236,4.126861,0.3506318,2.328672,-0.1509879,-2.625171,-1.6435,-1.418457,-3.829207,0.686914,-5.50165,1.451415,2.063364,3.827838,4.008247,-1.098321,"A"
"302","w",6.865125,-1.81822,-4.268854,-5.09254,-0.2679394,-4.474383,-3.898296,-1.867442,-4.96354,-1.516837,-6.770139,-2.705421,1.491246,-6.17329,-3.502347,1.775656,1.727424,2.950308,-4.05954,3.932338,"A"
"303","ao",-13.49352,5.445521,6.801861,-0.3079717,-4.961222,-5.964836,0.1046988,5.362065,4.968581,-0.7778666,-1.503167,-3.06472,-3.198382,-1.464672,-4.130249,3.176759,-3.341711,5.607869,-2.318942,-0.5160467,"A"
"304","sh",9.814446,3.134132,-6.121489,3.458841,9.289578,-2.186899,-0.1919642,-4.319367,-1.524634,-1.027298,1.737972,0.7380201,-5.348544,-8.111509,-2.945118,1.429596,-5.901283,2.170657,2.232755,3.709651,"F"
"305","epi",10.50544,2.101094,5.71627,-6.536678,-0.459567,1.641804,-0.4562026,-4.793921,2.779592,6.280602,-0.4936104,-1.254492,-4.799268,-1.700584,1.298928,4.018907,4.858429,-1.575435,1.780184,-3.307408,"X"
"306","w",-1.865098,-5.419538,4.337387,-2.594298,0.7311262,9.171961,-1.589055,2.269556,4.527352,3.53329,0.9807033,-0.5432188,-4.383313,-2.030403,-1.062046,-0.893926,-1.975209,-0.6542614,1.887552,-0.2778772,"A"
"307","aa",-7.32896,-2.964643,-0.3442896,6.386161,8.667017,1.350318,-7.559405,4.556315,1.776611,4.23843,-1.11023,-5.511684,2.56733,-3.396449,0.2567947,7.138756,2.949991,0.3161597,4.825495,-0.9836403,"A"
"308","dx",3.069946,-3.206075,-6.03889,-2.51427,-3.50063,5.004438,-2.308812,-4.383072,3.027516,5.337886,3.42933,-3.383598,-0.941238,-0.0234383,4.764286,3.411661,2.06844,-2.439931,-0.1106867,-0.0260961,"P"
"309","axr",4.977401,-2.021471,-4.598812,-0.2530702,-7.50611,6.40448,-0.4208145,-0.9585009,2.993679,5.031862,4.215485,-3.028767,0.2402131,-1.264091,5.718613,2.258419,-2.857616,-0.9855063,-0.86869,3.074498,"A"
"310","ao",-3.265809,-6.35311,1.984334,-0.1768629,2.632894,-3.219483,7.987159,3.583652,4.62769,3.315191,2.976315,-0.1280621,3.804277,2.636888,10.78899,3.139842,-3.082886,0.1324904,-0.07984698,2.288149,"A"
"311","l",-6.62386,-0.8410531,0.2323572,-0.8315232,13.32801,-0.09187858,1.550052,-0.4768676,-2.241087,1.934402,5.056382,3.736492,3.017509,-0.8075694,-6.768543,-0.9646706,3.945629,-0.3626813,4.140174,-2.814589,"A"
"312","y",8.473863,0.3120672,-3.128331,1.886634,-1.78569,8.231952,-5.945966,-6.576563,-0.9734486,3.1495,2.608805,-0.5680539,2.17923,2.218342,-2.159734,-6.815654,-1.194434,3.670062,-3.702138,-4.799527,"A"
"313","ih",-3.162702,-1.176717,-0.6160628,1.322861,-5.950145,4.75803,-1.066506,3.923591,5.33964,2.063324,-2.22152,0.6724786,3.086917,-2.652801,-1.118091,1.167401,-5.318735,-2.809864,-0.8256204,2.549755,"A"
"314","axr",-8.082056,3.265578,-1.606178,1.217957,1.476604,-5.216509,1.017896,-1.530411,0.3275196,-0.08755443,-3.687934,-1.376405,-0.1955413,1.978175,4.150709,3.38055,3.057923,2.208758,2.914276,0.8045097,"A"
"315","hh",6.146325,-5.01433,12.04893,-6.53982,-10.05206,-6.550838,-11.41397,-6.745601,8.186888,-1.06732,6.613879,3.845265,-2.155431,3.099703,0.2226745,-0.3675544,3.59874,-0.2828097,10.27361,4.130554,"X"
"316","ih",-22.76154,-13.69059,-1.84405,13.06939,-13.64424,0.9578397,5.386745,13.46561,1.018192,-1.21322,-0.1675722,-2.907635,-6.437273,-2.732703,-4.666506,-0.5368516,2.631226,10.17186,3.033719,-1.650141,"A"
"317","z",-9.010527,25.80125,-5.18055,0.6281352,1.11176,3.837717,4.375285,-3.224033,-4.654337,-1.778217,6.132384,-0.4458955,-3.663135,-5.513467,-4.452739,-6.677709,-4.020921,-0.4154345,0.4436444,1.118518,"F"
"318","tcl",24.77634,2.91839,0.09201445,-18.95277,7.003366,1.673318,-1.56753,1.499625,-1.119436,-0.2127563,-4.993257,3.160515,1.887591,-6.75371,-0.05609009,6.040974,3.020741,3.591374,-5.214929,-0.7633492,"P"
"319","t",45.32428,-45.06718,-2.432767,-6.913376,-5.367666,-7.333449,-6.595563,-4.634983,2.535474,12.44782,4.156926,1.302477,-9.014978,12.02851,-3.289378,-6.936186,-4.587536,-7.569811,-8.923776,12.99435,"P"
"320","ah",-29.69039,3.227708,24.6969,5.663781,-12.84247,-2.349748,-7.596875,11.73955,-9.076815,8.41268,5.919042,4.762739,-9.027549,8.671722,-2.750791,-0.419697,-8.952766,3.326851,14.21777,-7.077352,"A"
"321","f",7.533234,37.91772,4.749786,20.82039,-2.798344,-4.142355,4.316292,-8.588922,9.819019,4.0693,1.825568,1.949623,-1.735505,-5.620996,-1.273948,-5.538089,-2.456508,-10.87153,3.015415,-9.330129,"F"
"322","pau",28.96605,-3.385564,-16.8433,-2.780845,5.395751,-0.692673,2.825543,-4.642074,-4.896967,-5.643522,-0.3341754,-0.1571322,5.908683,-3.910496,-6.165516,9.127156,-1.105944,2.429851,-2.804529,6.975761,"X"
"323","q",-8.368559,-28.18067,6.741265,-8.674409,-8.377006,-4.261244,-7.513964,-8.707055,-2.872733,2.640505,-7.820238,-4.693671,2.73264,-3.748275,-14.46682,-2.797579,-1.242726,1.6191,-5.864584,14.77932,"P"
"324","aa",-13.55655,-10.82825,-12.60039,2.054608,-15.47477,-17.5126,-9.319882,-2.943203,-6.610122,0.4716024,13.29918,-11.24922,-3.416442,-1.783606,13.2483,-5.306015,1.797556,3.810611,18.36123,1.322884,"A"
"325","nx",-25.26664,20.10575,5.879577,-6.985998,10.45689,-16.02068,1.300104,-17.83055,6.223729,8.331579,-4.437303,9.456486,1.525375,4.865494,5.01772,3.946201,2.970659,-9.665485,-0.1963543,-4.46501,"N"
"326","ih",-35.96031,6.383836,-6.391299,-7.589876,0.5084702,13.77355,14.33121,-23.02498,6.409635,-1.020626,1.92613,7.197732,-4.062071,-5.545807,3.81796,1.575738,1.537577,4.147757,-4.314205,2.62907,"A"
"327","s",14.85942,24.52658,-18.56245,-5.118702,3.262687,-3.063142,-7.237601,10.41512,9.771332,0.5277048,0.2332372,-9.680921,7.227391,1.258618,4.280971,-5.678832,10.0022,1.518616,2.729982,-2.967731,"F"
"328","tcl",28.49453,3.045117,25.14445,-0.1343055,3.884438,0.8511457,-0.02813679,6.978539,-7.370933,-2.598009,11.26664,-3.487652,2.668897,7.088337,4.190785,3.928176,-3.232912,-3.395143,4.914728,2.789894,"P"
"329","t",1.896005,-4.549509,14.84873,-13.43573,4.011078,2.293345,5.259759,2.863847,9.4229,2.148809,3.014914,7.179129,2.366019,3.249241,6.709875,-0.6169551,-3.0372,-2.592432,1.320151,-0.3682279,"P"
"330","iy",-18.1074,-12.0746,-5.274317,9.946666,-2.343215,7.729557,10.01027,1.414545,-0.7088875,6.707562,-5.707837,14.18541,2.815913,5.596647,-1.386056,-5.836655,-4.072172,1.722249,-3.653586,-0.3177385,"A"
"331","kcl",26.96095,-6.166822,3.282945,-10.59199,5.011628,-2.542439,-3.098512,-4.889242,15.25985,-8.932856,8.701974,-8.367604,2.047138,9.825271,0.8804149,-3.158035,-0.7688223,-4.066185,5.121507,7.194624,"P"
"332","k",3.388969,13.55577,27.47399,5.782242,-8.361581,-4.164977,2.514712,6.78211,0.6192304,1.849131,7.979024,0.2232964,-2.941673,10.15834,-3.069919,11.91457,-9.09879,3.171981,-1.351066,1.752263,"P"
"333","ix",-28.32743,-2.002393,-17.65544,-10.85898,6.873694,3.659954,6.260718,2.65675,-11.35332,-2.814411,-5.786275,3.409757,0.2380144,9.632009,1.642307,6.566955,1.422253,4.561683,-7.64508,-7.752345,"A"
"334","n",23.67328,-3.850879,-25.65431,5.782882,3.067128,-7.653871,-3.816577,-11.14714,-8.205238,-3.124895,4.834173,6.389158,10.31991,-11.89327,-10.31531,-8.761869,-0.8870537,0.0871052,3.289986,-1.550353,"N"
"335","dcl",39.89001,-10.63839,12.29276,-10.98292,-4.881348,-6.069835,-6.043528,-0.5429404,4.397564,5.002031,1.222279,10.43833,-10.27375,-6.254639,-9.166608,4.18527,4.690496,3.856194,-1.015308,-6.323385,"P"
"336","d",-8.083598,-25.86628,23.64666,9.564293,-2.131926,3.311465,-3.733287,4.68581,2.387872,-2.413709,-8.628284,-11.94819,1.382034,-0.08918012,-3.52984,-10.59789,10.37289,0.1401016,-9.366343,7.045402,"P"
"337","eh",-24.27705,-18.65776,18.05424,16.88546,-2.263801,-2.870004,-6.654085,3.860911,-6.134505,1.162221,-3.545846,-11.53513,-4.898563,2.176515,1.796127,-7.84105,9.98989,-1.177782,-10.33826,13.96473,"A"
"338","m",13.48665,13.17559,-22.9715,1.341488,4.319399,1.290188,-2.578326,4.89195,9.096875,-1.866537,-4.553663,1.894924,-1.867282,8.004619,3.965213,2.237423,0.005076221,7.231061,0.7135806,-1.949697,"N"
"339","z",36.51588,-3.182151,13.44189,-0.9345156,8.793042,4.041172,3.352613,0.9866517,-7.839437,0.9540139,3.276589,-15.60895,-6.106946,1.195825,2.30883,-2.939822,-1.434046,-0.2887814,-5.349454,-1.559399,"F"
"340","ih",-19.68966,-10.62045,-2.375352,-3.835766,0.1370079,8.016222,-2.798098,1.952226,2.324475,4.857808,-1.235067,2.944711,-3.003398,4.75982,-1.376986,3.629677,-6.437642,-2.616031,-1.228903,0.6886082,"A"
"341","m",-9.056775,19.1547,1.19035,-6.94067,-2.418935,3.547327,0.312316,-0.5581361,-0.08378707,1.068521,-1.550106,-1.448288,3.530726,-2.060466,2.100498,2.17895,-1.13141,-1.126062,1.125341,0.2074699,"N"
"342","tcl",16.55599,8.141451,2.911527,-10.42601,8.666887,-1.829188,-4.383249,-2.829807,3.606892,-8.119925,-3.798645,-0.2648343,5.678538,-0.8413384,-5.518521,2.892434,-1.724257,7.259551,-5.205398,6.546126,"P"
"343","t",9.943887,6.296384,11.36814,-8.908634,-9.637955,-1.313102,0.5539637,-6.581719,-13.71635,-5.47562,7.190765,-4.48846,2.279469,3.246954,-5.634502,8.526162,4.53384,0.2129145,3.790067,1.635505,"P"
"344","ux",4.123008,-22.44956,4.171293,8.530229,3.246506,5.454542,1.53791,17.77106,-0.6674177,-9.981986,-4.279896,-8.964314,-2.106291,-3.40549,-2.881544,-3.043144,-4.028626,14.42922,0.006378028,-4.207682,"A"
"345","q",-7.978991,-14.91264,-6.685191,18.874,9.862988,14.75058,0.05468655,11.9454,1.800017,9.868971,-1.03879,17.36248,-7.103264,1.965016,-13.17027,-3.918088,-14.36303,-1.610004,5.480792,1.731683,"P"
"346","ey",-14.92578,5.015071,7.782111,8.725105,7.118922,1.009361,-4.361222,-14.94028,-2.314162,3.961667,-3.291848,1.124529,6.659051,8.360041,8.49537,0.6166895,8.400823,5.232636,0.1351803,-0.3728939,"A"
"347","s",14.8221,11.43687,-19.72105,-9.973349,1.662087,-2.704175,-7.015691,4.399437,4.3143,-7.629641,-2.117599,-12.20049,4.133998,14.42118,5.016153,-4.526907,-1.812829,5.059088,4.607243,6.717745,"F"
"348","aa",-5.586501,-26.91664,3.328676,-13.73236,-2.382335,-6.34026,4.916755,0.5555526,-12.06323,1.512932,-8.272761,9.237287,9.089279,4.865074,0.9041943,3.683842,9.03132,8.139865,-2.666737,-12.78262,"A"
"349","l",-26.53039,6.22252,12.93822,20.82974,4.839668,-4.436917,-8.516757,-1.812403,-10.41491,-1.627966,6.571294,-7.743346,-2.184141,-7.505909,2.920541,-15.26726,-4.63592,-4.078678,2.999839,11.8984,"A"
"350","ax",-41.45766,17.36212,-3.469702,-4.152822,-3.741227,-6.807027,3.268568,-9.676622,12.00515,-3.421426,0.338531,2.009115,1.56736,-3.549884,0.6114355,9.398649,-0.08639233,-2.183471,5.720927,7.584462,"A"
"351","tcl",25.7892,10.67839,-17.13488,4.617681,3.778591,5.669941,0.4133744,8.284397,9.565629,-1.266211,-6.872288,-0.09957935,3.273386,8.422738,-0.5668375,0.721156,6.82516,12.09086,-6.188384,-0.3392524,"P"
"352","t",31.02656,6.931856,23.47887,-11.02796,8.193391,3.511389,2.982852,2.681644,-10.66127,-2.220191,2.13528,-6.159116,-6.86871,3.793012,-5.637865,-0.7528113,2.126014,-5.897452,-8.54855,6.080844,"P"
"353","eh",-10.06476,-15.42811,0.4868358,-0.7354768,1.581226,9.788521,-1.622551,4.341823,-2.852283,5.288432,0.6940501,-1.345035,-7.435251,3.792055,-0.1058209,-3.262932,-5.020849,0.8002605,-0.5567746,5.340099,"A"
"354","r",-7.513843,-4.102303,-1.212841,9.268099,5.146878,6.075878,-3.368772,1.432738,7.233124,5.140992,0.2921194,-4.26286,0.6292764,0.8463655,3.116831,-0.8482751,-3.976146,0.6617947,-4.220361,1.276471,"A"
"355","iy",-10.91592,9.508017,-4.732085,-3.497991,-3.34604,6.005854,-7.10774,1.716617,-2.301246,0.2181823,1.089745,4.649083,4.793279,1.344248,0.12789,5.698056,-2.65357,0.9617201,2.924731,-0.2484667,"A"
"356","q",23.43686,-4.343075,-1.566649,1.463447,1.546473,1.60123,11.76618,18.08554,3.279964,7.968758,-1.036767,7.704893,-5.693619,-3.325322,-0.1514216,6.522023,9.011746,1.39729,1.369368,-5.687432,"P"
"357","eh",-16.81283,-3.357453,15.29803,2.867749,11.85266,-3.593348,-3.953422,-10.71459,-8.806909,5.235143,-0.1876556,-1.206872,2.844491,10.36246,3.127683,-3.794945,12.33996,-4.842283,3.299218,-3.640894,"A"
"358","n",-5.722021,25.75451,-18.94354,-5.627611,-5.832796,0.5763724,-1.466788,5.393693,3.159001,7.980752,-6.529768,-8.551106,3.554276,4.948125,6.162611,3.053345,5.120381,0.9479449,-1.967233,-0.09506334,"N"
"359","dcl",42.79271,-12.82808,12.02151,6.825488,10.87882,3.2114,-6.140956,6.00436,-1.205311,-11.85858,3.159955,2.994257,1.897621,7.71584,-5.464106,5.400402,7.111448,1.420743,0.2018522,-4.543602,"P"
"360","d",-26.7491,16.17284,28.93315,-10.26887,-12.69053,3.152538,-0.2003556,-6.931766,-4.767672,6.636188,-5.488359,-3.063353,-4.073917,-6.429928,-4.177311,-2.250965,4.095188,-9.587772,-1.833479,10.35767,"P"
"361","ih",-39.13071,14.15341,3.812254,-23.06196,-15.10512,0.8056552,-4.262505,2.165503,-10.81977,9.25259,-6.55357,-0.6654375,-8.997391,-9.788174,-2.623004,-2.882807,2.81813,-3.813151,2.278891,3.859694,"A"
"362","f",16.29949,2.571903,-1.142412,47.61901,4.676653,5.895711,10.31528,6.359504,-10.74354,-4.713535,-1.92421,-5.158286,10.06455,-7.110341,9.586789,2.129839,2.155188,7.173006,2.768577,2.925373,"F"
"363","ix",-22.7615,-16.48247,-17.75311,-22.62735,-5.337791,21.69126,11.79444,-4.109414,-9.94597,-3.400096,1.838029,-1.561602,-1.095463,8.359711,6.167255,-4.476538,-0.5762977,-2.10951,1.140185,-3.608906,"A"
"364","kcl",31.35357,-0.2787781,-27.29606,16.03319,-1.2134,-9.41965,-2.462862,11.25456,7.219808,10.08057,7.041926,8.09858,7.922393,-13.02727,-0.2843774,-5.544987,5.263328,2.990434,-0.6986194,3.600294,"P"
"365","k",28.2876,-10.31538,27.30665,-5.871217,11.49125,1.069795,3.996579,6.573945,-0.1089851,7.716973,-2.338569,-3.055276,-0.2775624,2.501064,-7.045642,2.954868,0.3824264,-5.52264,4.185777,3.403559,"P"
"366","el",-30.04902,-2.185311,12.07411,-3.248289,2.060087,7.418285,-5.566367,-8.792924,-8.8292,5.317325,1.998447,4.05812,-0.7908321,3.369575,5.920958,-7.255899,0.5676981,7.540237,0.893276,1.034648,"A"
"367","tcl",5.536949,24.59387,-9.13704,-1.888647,-0.9117982,-0.6592217,-3.795504,7.184988,0.9878495,4.7133,-5.236957,-5.293876,1.905045,2.744801,-1.822205,2.654688,5.130324,1.464948,-3.712348,-3.508839,"P"
"368","t",19.1684,-5.867691,4.631011,-10.36279,2.348367,4.1724,1.52467,-2.737971,-1.664543,-11.05298,6.714281,-9.091772,2.830404,7.542549,3.761881,-4.93636,-3.380966,-3.449379,6.270723,4.915499,"P"
"369","ih",-15.5076,3.148397,11.16477,-5.963938,1.643103,-0.04979774,1.231253,3.105318,0.4086549,6.239606,-9.597043,0.5090642,5.932275,7.344454,-6.70999,-1.285217,-7.42514,-4.425927,1.295876,-0.9056948,"A"
"370","gcl",22.48154,-0.371965,-10.96291,-10.19028,2.052206,-1.785689,-7.112058,4.932879,-1.180087,-4.097482,6.10178,-5.465182,7.997437,-1.050749,0.6120194,-4.15534,0.3453177,2.767854,1.455243,-1.84641,"P"
"371","z",31.89225,-14.46094,9.044452,0.9969602,-2.996328,-0.8336402,1.591348,-2.663027,1.823772,-8.372401,9.514729,-3.324223,6.041821,8.901575,2.263282,2.199707,-4.351594,1.293917,4.804178,1.928804,"F"
"372","ih",-27.27947,-0.7353227,6.119691,-7.733443,-0.2521534,-5.871346,4.002979,0.354807,6.285691,6.014279,-8.978113,1.108544,1.504296,-0.6334358,-5.700151,0.09519788,-5.602017,1.866494,-7.700609,-3.60697,"A"
"373","s",-5.173679,20.42342,-21.16942,-2.154303,0.8709377,-6.183736,-0.5735236,-4.617933,-8.250003,-0.4204131,10.95881,1.653057,-7.006836,-5.134839,2.306649,-7.101603,-6.028552,-1.029842,2.053092,1.424797,"F"
"374","tcl",29.54934,-6.609305,22.52658,13.04086,12.88372,7.300555,-2.517377,4.172576,-7.263162,-0.8135006,-0.6221213,-6.146547,0.9402789,2.39572,-4.37631,6.940014,-6.340906,1.905727,4.846689,0.2102214,"P"
"375","t",-4.376481,5.816452,21.26875,-9.400358,3.480248,-1.236268,-8.905246,-9.949736,3.019585,6.418845,-1.302798,1.036079,1.208803,1.260097,5.977096,-1.580238,6.012242,-4.005079,1.440798,-4.088055,"P"
"376","ix",-23.37966,-4.200004,5.733552,-13.05003,-2.518155,9.239808,-1.33565,-10.25431,5.132416,2.261074,0.7060468,4.947344,-2.851395,-1.253672,7.336917,-0.4566422,5.502552,0.4373477,-3.128958,-3.011608,"A"
"377","n",-20.36246,-0.3530919,-25.69725,12.97666,-10.05719,6.966705,-3.916274,4.608387,3.710689,6.034251,3.471711,0.8793369,4.049641,-4.565364,-5.596156,-2.018219,-6.360225,-4.536611,-1.066891,-1.955719,"N"
"378","epi",2.986644,10.34119,-7.812221,5.2144,-1.00867,-2.229423,-0.2515623,1.383658,4.466857,2.769213,-7.191687,-6.131159,4.70943,1.675199,6.834251,4.095251,2.300414,3.027845,0.9314456,2.587807,"X"
"379","s",-0.8206875,4.439472,3.236154,-3.603204,1.05313,1.673892,2.331474,-0.3931863,0.183581,-0.9158244,1.033874,-3.541655,0.5087513,0.7741783,-1.86917,2.0095,-0.3644036,-0.2961178,-0.1842552,0.7439544,"F"
"380","r",-8.666093,-3.213153,0.7229335,-2.414277,-2.328043,1.038398,-8.874703,2.401328,1.820024,-4.23238,3.434424,3.216662,0.1728137,-2.763251,3.338798,0.7482048,-2.082738,-0.6135202,-3.185541,0.3803336,"A"
"381","ax",-7.696938,-8.865971,-6.283566,0.9205201,-3.095604,-3.086169,-6.504837,3.144654,0.7076821,-5.419637,3.263811,0.2896345,5.234878,-1.500685,-0.8967918,2.52721,-0.962033,-7.647907,0.9937978,-0.4318356,"A"
"382","m",5.729009,0.3511741,-0.3035206,5.158418,-0.7407953,0.1249519,-2.668512,1.473238,1.049944,-2.913999,-4.605397,6.226398,-2.447781,0.7946224,2.298867,0.2424304,-0.5729435,1.788657,2.614956,-1.802741,"N"
"383","ux",-12.01398,6.515683,-2.638551,1.080302,-4.622231,-2.264503,-0.0385376,-4.314349,-2.707354,-0.4979372,-3.836533,-1.577807,-2.201431,-0.6360563,-3.48962,-6.515466,0.6773372,-3.207042,-1.392621,5.712585,"A"
"384","v",10.05228,1.902794,13.68371,9.092545,3.263231,1.714095,-2.435142,0.2288689,-4.116453,-1.497263,-2.628165,-6.104074,3.104585,0.1586784,0.8070379,-1.285739,3.068135,0.5496177,0.0300486,-0.2770607,"F"
"385","dh",-7.197881,8.004052,8.576001,-6.47894,-1.471908,-2.130043,-2.467799,-4.61077,1.941617,2.994888,-2.225624,1.600437,-5.376503,-0.1141449,2.451711,0.05353654,1.987148,-3.414467,-2.65452,0.5834186,"F"
"386","ix",-18.5968,-0.413999,-9.543854,1.955474,-5.301659,9.998846,3.223914,-1.7368,4.465077,0.75957,-3.274793,0.7416363,-0.3921045,-1.848565,-0.2215431,-1.506681,-4.099217,-1.980902,-0.1181464,-0.02846139,"A"
"387","s",-3.295161,16.63692,-7.344463,5.854816,-0.2951347,-2.628387,-0.7455336,0.4496949,3.512355,1.850065,-3.474314,-3.756151,2.886887,-0.447274,3.396021,2.222037,1.662671,3.621538,0.1454317,2.135853,"F"
"388","pcl",14.29488,0.1141427,1.737966,-3.811393,2.229433,1.458539,3.175314,2.648525,-2.073435,0.1081318,3.693012,-2.191585,1.683154,-0.06870942,2.500304,-0.3865822,-1.895279,-1.301049,1.247526,4.616559,"P"
"389","p",6.721053,-5.492271,7.513607,-1.148379,2.245182,0.3921647,7.387724,0.4239294,7.582366,5.380268,1.544552,4.886611,3.284365,1.873168,2.066517,-0.1676593,-1.259362,0.164962,-0.9148494,2.22806,"P"
"390","l",-13.21848,0.7746472,6.636147,5.679478,0.2855896,0.6357265,1.709184,1.174149,-2.76192,5.827629,2.494276,6.693526,4.739893,5.097414,-1.255632,-2.190321,-2.487299,3.252922,0.5310678,1.383258,"A"
"391","ih",-18.868,5.952126,-2.944014,-3.232573,3.367681,-3.519065,0.03910035,-2.866708,1.247385,4.418294,4.045314,1.766069,6.675018,-1.165813,-0.6162953,-0.6003741,4.661783,4.734163,0.5345748,0.2683273,"A"
"392","n",12.13144,2.716722,-7.427718,5.592244,-1.028163,0.05948408,-3.416256,-2.262446,-1.651151,-3.774168,2.80267,0.5303328,5.011124,1.614919,-2.407022,-5.35417,2.049289,0.8972777,-5.365979,-2.512404,"N"
"393","tcl",16.78986,3.151875,4.805823,-1.719263,-5.799135,-1.229573,-2.190706,-0.2457456,-3.601104,-6.624396,2.569104,1.77605,5.136155,0.8407273,1.262858,-4.35399,2.413283,-2.514525,-3.422501,-1.954837,"P"
"394","t",10.57926,0.3162034,9.357947,-5.722921,-7.372549,-2.555699,-0.5994818,0.3650008,0.7770294,-6.740395,1.711955,5.812799,2.586325,-0.0193134,0.007846577,3.300764,1.083918,-2.292002,-5.236699,1.773821,"P"
"395","er",-1.42971,-8.846981,-1.049367,-1.813269,-4.513536,-3.148322,-3.667489,5.362034,-6.22053,-5.987717,-7.12666,6.849578,0.8325806,1.41128,-1.693283,-1.518635,-0.9536714,-0.9689576,-1.318813,-0.5245091,"A"
"396","w",-8.292064,6.155243,0.2418804,1.907868,-7.135282,-5.817004,0.3443699,2.92328,-9.240539,-6.47351,-0.1004879,7.098768,-5.753888,-6.338165,2.703528,-4.191102,0.7455351,-1.368901,0.03309405,-1.576013,"A"
"397","ih",-4.766365,-8.887982,-2.000953,10.51846,1.661252,-2.495772,7.063594,-1.514266,3.016625,-8.533164,-5.694915,-2.225878,3.240378,-2.124527,0.3889816,-3.711291,0.9084553,-2.175215,5.15622,-0.1072156,"A"
